rank,word,lemma,band,zipf,sc_option_exams,was_the_correct_answer_in,restatement_exams,exams_any_role,total_occurrences,weighted_score
1,resent,resent,off~C2,3.38,5,0,0,6,6,26
2,thaw,thaw,off~C2,3.18,5,1,0,5,5,25
3,prone,prone,off~C1+,3.93,4,4,2,7,7,28
4,persuasive,persuasive,off~C2,3.41,4,0,2,7,7,28
5,intimidate,intimidate,off~C2,3.44,4,0,1,6,6,24
6,smuggle,smuggle,off~C2,3.22,4,0,0,6,6,22
7,haul,haul,off~C1+,3.88,4,0,0,5,5,21
8,digest,digest,off~C1+,3.71,4,0,0,5,5,21
9,liberate,liberate,off~C1+,3.53,4,1,0,5,5,21
10,chant,chant,off~C1+,3.6,4,0,0,4,4,20
11,duplicate,duplicate,off~C1+,3.59,4,0,0,4,4,20
12,hurdle,hurdle,off~C1+,3.54,4,0,0,4,4,20
13,reconcile,reconcile,off~C2,3.5,4,0,0,4,4,20
14,aptitude,aptitude,off~C2,3.2,4,1,0,4,4,20
15,abbreviate,abbreviate,off~C2,3.19,4,1,0,4,4,20
16,embellish,embellish,off~C2,3.09,4,0,0,4,4,20
17,navigate,navigate,off~C1+,3.68,3,0,0,8,10,25
18,pigment,pigment,off~C2,3.37,3,1,2,6,13,25
19,obsolete,obsolete,off~C1+,3.65,3,1,1,8,9,24
20,overthrow,overthrow,off~C1+,3.61,3,0,2,5,6,23
21,enchant,enchant,off~C2,3.44,3,0,2,5,6,22
22,scroll,scroll,off~C1+,3.86,3,0,2,4,7,21
23,futile,futile,off~C2,3.39,3,0,2,5,5,21
24,hatch,hatch,off~C1+,3.82,3,0,0,4,6,19
25,adorn,adorn,off~C2,3.37,3,1,0,7,7,19
26,clan,clan,off~C1+,3.97,3,0,0,4,19,18
27,expel,expel,off~C1+,3.7,3,0,1,4,4,18
28,redeem,redeem,off~C1+,3.53,3,0,1,3,4,18
29,enlighten,enlighten,off~C2,3.49,3,0,1,4,4,18
30,flatter,flatter,off~C2,3.46,3,0,1,4,4,18
31,abbreviation,abbreviation,off~C2,3.14,3,1,0,5,5,18
32,graceful,graceful,off~C2,3.39,3,1,0,4,4,17
33,perish,perish,off~C2,3.32,3,0,0,4,4,17
34,sanctuary,sanctuary,off~C1+,3.93,3,2,0,4,4,16
35,tilt,tilt,off~C1+,3.66,3,0,0,4,4,16
36,pillar,pillar,off~C1+,3.64,3,0,0,4,4,16
37,scarce,scarce,off~C1+,3.61,3,2,0,4,4,16
38,captivity,captivity,off~C1+,3.56,3,2,0,4,4,16
39,fugitive,fugitive,off~C1+,3.54,3,0,0,4,4,16
40,solitude,solitude,off~C2,3.42,3,0,0,4,4,16
41,hinder,hinder,off~C2,3.39,3,2,0,4,4,16
42,deceive,deceive,off~C2,3.39,3,0,0,4,4,16
43,omen,omen,off~C2,3.12,3,0,0,4,4,16
44,magnify,magnify,off~C2,3.0,3,0,0,4,4,16
45,mock,mock,off~C1+,3.85,3,1,0,3,3,15
46,disgrace,disgrace,off~C1+,3.73,3,0,0,3,3,15
47,blaze,blaze,off~C1+,3.69,3,1,0,3,3,15
48,salvage,salvage,off~C1+,3.65,3,2,0,3,3,15
49,damp,damp,off~C1+,3.62,3,0,0,3,3,15
50,swiftly,swiftly,off~C1+,3.54,3,1,0,3,3,15
51,fluent,fluent,off~C1+,3.52,3,1,0,3,3,15
52,subordinate,subordinate,off~C2,3.45,3,0,0,3,3,15
53,regal,regal,off~C2,3.34,3,0,0,3,3,15
54,deceptive,deceptive,off~C2,3.34,3,0,0,3,3,15
55,persuasion,persuasion,off~C2,3.33,3,0,0,3,3,15
56,crease,crease,off~C2,3.31,3,0,0,3,3,15
57,adversary,adversary,off~C2,3.29,3,0,0,3,3,15
58,recite,recite,off~C2,3.28,3,0,0,3,4,15
